Job_Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,hourly,Min_salary,Max_salary,Avg_salary,Company_Name_Cleaned,Job_State_cleaned,Age,Python,SQL,AWS,AZURE,BIG_DATA,Computer_Vision,R,Visualization,Tableau,Power BI,Machine_Learning,STATISTICS,Deep Learning,EXCEL,Deployment,Job_simplified,Seniority,Min_size,Max_size,AVG_size,Rev_million,Rev_billion
Data Scientist,$119K-$147K (Glassdoor est.),"Company information*Coverent is a specialized consulting services firm focused on developing innovative solutions to the most challenging problems facing our nation. We are growing quickly, but focused on maintaining our commitment to fantastic results and a fair, flexible, and fun culture:* Are you interested in working for a boutique firm who sees its employees as more than just a number?* Are you intrigued by the notion of joining a small team of talented, passionate consultants with a clear vision to help our clients achieve their missions better, smarter, faster?* Does a company culture that emphasizes outcomes, fairness, and flexibility sound appealing?* Would you like to be rewarded for your contributions, via programs like annual bonuses and company profit sharing?* Would you appreciate having a choice of options from top-notch benefit providers for medical and retirement plans?* Are you interested in a learning culture that is forward-leaning regarding training, education, and professional development?If you answer YES to these questions, Coverent could be the employer of choice for you. Description of roleCoverent is seeking a Senior Data Science Consultant to lead program evaluation activities for a client in the US Intelligence Community. On this project, the Consultant will have the opportunity to demonstrate intellectual agility by leading data collection and data analysis activities to produce key performance insights. Furthermore, they will lead the implementation of recommendations when they are adopted by the customer. This project features the opportunity to interact with a wide range of key stakeholders, including those at senior levels. This is an exciting opportunity for an intellectually curious, energetic consultant to work on a project with real impact helping our client develop ways to understand and improve performance of activities that support delivery of the mission.*Responsibilities** Consult with clients on the development, prioritization and implementation of process improvement and impact evaluations tasks.* Develop recommendations for changes to policy, processes, communications and training to enable achievement of vision. Develop and implement research designs with practical strategies for measuring performance of organizational units and/or unit activities to include development of performance measures and design of actionable methods for collecting and analyzing data, and implement strategies and refine as needed.* Perform a variety of research activities to include document reviews, structured interviews, and gap analyses, and involves stakeholder identification and logistical coordination for data collection activities and documentation of discussions.* Analyze both qualitative and quantitative information to provide customer with comprehensive insights into organizational strengths and challenge areas.* Prepare visual presentations of data and analysis.* Prepare reports and presentations for senior leadership based on research plans, activities, findings and recommendations.* Brief senior level customers on research plans, activities, findings and recommendations.*Requirements ** U.S. Citizenship* Active TS/SCI clearance w/ Poly* Must have a Bachelors degree ; Masters degree in business, social science, or behavioral science preferred* 3+ years of experience in a consulting role in the IC* Experience extracting insights from social media data using data analysis techniques* Experience developing and implementing change management strategies* Demonstrated experience designing and implementing organizational or programmatic performance measurement strategies* Proven ability to analyze data and translate analysis into meaningful insights* General understanding of data coding, data integrity, and statistical sampling and analysis concepts* Experience developing presentations and providing briefings to middle and senior management* Excellent oral and written communication skills, including visual representation of data using charts and graphs* Advanced proficiency with MS Excel and PowerPoint* Ability to perform in an individual contributor role while also excelling in a team environment* Ability to analyze information and identify implications for policy, processes, communications and training* Demonstrated experience leading qualitative research and program evaluation activities to include experience leading structured interviews* Familiarity with industry-standard data science and visualization tools* Familiarity with advanced statistical concepts* Some knowledge of Python scripting*_Indeed Hire and Coverent are working together to find the best candidate for this job. _**_*__*_**_By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application._*Job Type: Full-timePay: $140,000.00 - $185,000.00 per yearExperience:* extracting insights from social media data: 1 year (Required)* developing and implementing change management strategies: 1 year (Required)* analyze data and translate analysis into meaningful insights: 1 year (Required)Education:* Bachelor's (Required)License:* TS/SCI clearance w/ Full Polygraph (Required)Benefits:* NoneSchedule:* Other",4.2,"Coverent
4.2","McLean, VA",-1,51 to 200 ,2008,Company - Private,Consulting,Business Services,$25 to $50 million,-1,0,119,147,133.0,Coverent, VA,12,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,data scientist,na,51,200,125.5,1,0
Senior Data Engineer,$119K-$147K (Glassdoor est.),"Cherre provides investors, insurers, brokers and other large enterprises with a platform to collect, resolve, and augment real estate data from thousands of public, private, and internal sources. By providing a “single source of truth,” we empower companies to evaluate opportunities and trends faster and more accurately, while saving them millions of dollars in manual data collection and analytics costs.

We are looking for an enthusiastic Senior Data Engineer who is interested in working with a fast-growing team in building industry-leading real estate data services. You will be part of designing and implementing server side services to ingest, organize, analyze, and display real estate data and insight. You will be working in a small team and be a real partner in the design and implementation of all aspects of our product.
Your Work
Develop and implement ETL processes
Design data warehouse solutions to support ETL processes and data analytics applications
Write SQL/NoSQL database queries, stored procedures, triggers, user defined functions, analytic functions, etc.
Own features that you develop end to end, develop and test your code, implement new processes in production, and maintain and support them over time
Drive our data platform and help evolve our technology stack and development best practices
Develop and unit test assigned features to meet product requirements
It is Necessary to Have
BS/MS/PhD in CS or related field
Strong experience in database technologies and data warehousing
Strong experience in Python
Experience with service oriented architecture and good understanding of distributed systems, data stores, data modeling, and indexing (experience with Event Sourcing and/or CQRS preferred)
Hands on experience developing APIs and SDKs
Hands on experience with BigQuery, PostgreSQL, and large-scale distributed storage and database systems
Ability to deal with ambiguity and communicate well with both technical and non-technical teams
Strong Candidates Will Have
Airflow
Docker
Kubernetes
Benefits
Competitive Base Salary
Equity
Range of Healthcare Plans that start day one
Paid Parental Leave
Educational Credit
Unlimited Vacation
Flexible Work Schedule


If this opportunity sounds interesting, apply or reach out to our internal talent team. We are happy to tell you more about Cherre: the technology we work with, the problems we solve, the team we are assembling, and the culture we all contribute to. We are excited you are considering working with us and look forward to hearing from you!

“At the top of the mountain we are all snow leopards.” - Hunter S. Thompson

Cherre is an equal opportunity employer. We pride ourselves on hiring the best people for the job no matter their race, sex, orientation, nationality, religion, disability, or age.",5.0,"Cherre
5.0","New York, NY",-1,1 to 50 ,2016,Company - Private,Real Estate,Real Estate,na,-1,0,119,147,133.0,Cherre, NY,4,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,data engineer,senior,1,50,25.5,0,0
Machine Learning Engineer,$119K-$147K (Glassdoor est.),"Machine Learning Engineer Northern, VA

Machine Learning Engineer

NuWave Solutions is seeking Machine Learning (ML) Engineers to produce automated anomaly/object detection and characterization, forecasting, optimization, and recommendation solutions to national security challenges using modular, cloud-native, API-centric approaches. These solutions will support next-generation defense and intelligence operations with a focus on incorporating machine learning insights to automate and scale analysis and improve decision support. Teams will be working in a highly collaborative environment and expected to identify opportunities to apply and improve data-driven insights and support related design and development within big data environments. Other responsibilities include:
Engage with mission owners/operators to discover applications for ML, set project expectations, define requirements, and review results
Design and develop reusable workflows for data integration, transformation, and feature engineering required to train models
Train and validate models, often in big data, distributed environments
Perform exploratory data analysis to understand data and model-derived insights
Perform model introspection to understand model behaviors and explain predictions
Visualize data and model-derived insights to communicate internally and externally
Integrate models into operational systems
Lead trade studies, analyses of alternatives, and assessments of existing systems
Develops or provides input to engineering artifacts
Requirements
Active Top-Secret clearance required
Minimum (positions are available at multiple levels of seniority) of a bachelor’s degree and 5 years of experience in a science or engineering field
Ability to describe the data assumptions and processing steps of common machine learning methods, and which methods are appropriate for a variety of use cases
Expertise with ML libraries, like Scikit-learn, Pandas, Numpy, PySpark, MXNet, MLib, and Weka
Experience with ML platforms, like KNIME, Spark, SageMaker, H2O, and TensorFlow
Familiarity with Java, Python, and SQL including related ecosystems and frameworks, like Eclipse and Jupyter Notebook
Familiarity with visualization tools, preferably Qlik, Tableau, Plotly, Kibana, Matplotlib, and QGis
Strong problem-solving skills
Strong written and oral communications skills
Able to work independently and self-identify tasks
Ability to review and maintain existing code and applications
Ability to research and evaluate new concepts and processes to improve performance
Preferred Skills
Familiarity with time series forecasting
Familiarity with distributed platforms (i.e. HBase, Kafka, Spark, NiFi) and the cloud (i.e. AWS, GCP, Azure), preferably Amazon Web Services
Familiarity with no-SQL databases like Neo4j, ElasticSearch, or Cassandra
About NuWave Solutions

NuWave Solutions is a recognized leader in providing anticipatory intelligence and advanced data analytics to the defense, intelligence, and private sectors for over 20 years. Leveraging artificial intelligence and machine learning methodologies, NuWave Solutions streamlines the Data-to-Decision lifecycle faster than traditional practices allowing clients to take action with confidence.

For more information on how NuWave Solutions supports its clients and builds upon success, please visit https://www.nuwavesolutions.com

Position Details

Locations of Positions: Reston, McLean, or Herndon, VA; Joint Base Andrews-Bolling, DC; Suitland, MD

Travel Required (CONUS/OCONUS): CONUS

If Travel is required, how much? 5%

Work Schedule: Day Shift

Authorization to work in US is required

8570 Requirements: N/A

NuWave Solutions is an Equal Opportunity Employer/Veterans/Disabled

Tagged as: Machine Learning Engineer",4.4,"NuWave Solutions
4.4",Virginia,-1,51 to 200 ,1999,Company - Private,IT Services,Information Technology,$5 to $10 million,-1,0,119,147,133.0,NuWave Solutions, VA,21,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,machine learning engineer,na,51,200,125.5,1,0
Machine Learning Engineer,$119K-$147K (Glassdoor est.),"Opportunity overview

Cohere Health is simplifying healthcare for patients, their doctors, and all those who are important in a patient's healthcare experience. Our focus is to enable an efficient, transparent patient journey where patient goals are central to decision-making.

We are a mission-driven and fast-growing company obsessed with eliminating the wasteful friction patients and doctors experience, particularly for diagnoses that require expensive procedures or medications. To that end, we build products and services that ensure the appropriate plan of care is understood and expeditiously approved, so that patients and doctors can focus on health, rather than payment or administrative hassles.

In this role, you'll join our growing team of world-class engineers, statisticians, and clinical experts to deploy machine learning algorithms that help automate burdensome administrative clinical practices. You will be tasked with finding the most promising opportunities for impact and then delivering on them.

What you will do:
Find the signal in incoherent clinical data
Build reliable and scalable production machine learning systems
Work on feature engineering, statistical analysis, developing novel ML techniques, understanding classifier performance, and ensuring fit-for-purpose.
Work cross-functionally across diverse stakeholders, including product managers, statisticians, EHR data specialists and physicians.
What you will have:
You have at 3 years experience in applied ML in the industry with a degree or higher (MS/PhD) in computer science, machine learning, mathematics or similar field
Clear understanding of model building, model maintenance and the measures that optimize models for product use
Understand experimental design and can independently perform collection, measurement, and interpretation of results
Expert in R, SQL,Python or other common analytical data tools
Expert in linear regression and classification approaches
Bonus points if:


Have experience with healthcare data such as claims and EMR data
Have hands on experience building NLP models using Spacy from clinical narratives
Experience with TensorFlow is also a plus.
We can't wait to learn more about you and meet you at Cohere Health!",5.0,"Cohere Health
5.0","Boston, MA",-1,51 to 200 ,2019,Company - Private,IT Services,Information Technology,na,-1,0,119,147,133.0,Cohere Health, MA,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,machine learning engineer,na,51,200,125.5,0,0
Data Analyst,$119K-$147K (Glassdoor est.),"EMPLOYMENT VALUE PROPOSITION: Mental Health Center of Denver provides you with the support you need to help you develop a career in helping others succeed. We innovate, adapt, and leverage the diverse perspectives of the people on our team and the people we serve in everything we do.

Learn what it is like to work at the Mental Health Center of Denver:


STARTING SALARY: $48,006.40 - $55,016.00

Position Summary: Utilizes clinical services and operational data to assess outcomes and effectiveness associated with MHCD's service programs and operational processes. Collects data to answer evaluation and research questions that may arise from program requirements, management and/or staff. Develops summative and formative analytics and evaluation reports for delivery to staff, management, and external stakeholders. Position will primarily be assigned to our criminal justice programs, specifically a court/jail diversion program.

Essential job functions
Collects and prepares data for reporting as required under the research or evaluation plan using SQL and Excel.
Performs individual and group interviews with persons we serve, staff, and stakeholders.
Conducts analyses using SQL, Excel, and R
Prepares and submits analytic, research, and/or evaluation reports as needed
Develops presentations and documents
Writes sections of grants, papers, and other research materials
Interacts with managers and staff to review and edit reports as needed
Other duties as assigned.
Education: Minimum of bachelor's degree in statistics, social or behavioral research, or another related field.

Experience: Minimum of one-year experience with statistical analyses, data collection and processing, and\or program evaluation within a healthcare environment.

Skills and Competencies:
Proficiency with evaluation and research methods
Proficiency with T-SQL and R.
Proficiency with basic statistical techniques and data wrangling methods
Ability to communicate with both technical and non-technical audiences.
Commitment to high quality research and analyses.
Ability to organize and prioritize work, handle multiple assignments, and meet deadlines in an agile development environment.
SUPERVISORY RESPONSIBILITIES: No direct supervision of staff.

MACHINES AND EQUIPMENT TO BE USED: PC Computer, MS Office software, MS SQL Server Management Studio, Tableau, R

TYPICAL PHYSICAL DEMANDS: Requires sitting, standing, bending and reaching. May require lifting up to 50 pounds. Requires manual dexterity sufficient to operate standard office machines such as computers, fax machines, the telephone and other office and/or clinical equipment.

TYPICAL MENTAL DEMANDS: Ability to give, receive, and analyze information, formulate work plans, prepare written materials, and articulate goals and action plans. Must understand people from all walks of life and be able to communicate effectively with them.

WORKING CONDITIONS: May require occasional evening or weekend hours.",4.0,"Mental Health Center of Denver
4.0","Denver, CO",-1,501 to 1000 ,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million,-1,0,119,147,133.0,Mental Health Center of Denver, CO,-1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,data analyst,na,501,1000,750.5,1,0
Sr Data Engineer,$119K-$147K (Glassdoor est.),"We are looking for a Senior Data Engineer to work with one of our US-based clients, who is reinventing the delivery of health and human services. Our client’s collaborative platform unites healthcare providers, government, and the community around the common goal of improving health outcomes for everyone.

Data has long been a foundation of our client’s system and their requirements around data have grown more sophisticated and central to their mission. They are now harvesting the data in the platform and transforming it into an actionable source of information that stakeholders use to understand the impact that Social Determinants of Health are having on communities.

The company is made up of 160 professionals, including QAs, Product Managers, and 30 Engineers, mostly based in the NY area. Some of the main technologies used are APIs, Ruby on Rails, Golang, Lambda AWS, Neo4J running on EC2 nodes, MySQL, Postgres, microservices, enterprise data warehouse, Redshift, and Tableau. The team is currently working on a single-page application on front-end technologies such as React and JavaScript.

Our client is looking for people to join their team who share a passion for their mission to reinvent Health & Human Services and aspire to make a lasting difference for future generations.
You are the one if you have:
Solid experience working with Spark, Data Lakes and Data Warehouses
Vast knowledge about ETL processes
Experience with AWS (S3, Redshift Spectrum)
It’s a bonus if you have experience working with:
Tableau
Neo4J
Our Engineers bring the vision and goals of our clients to life by bringing experience and passion to the software development process. Spark Digital Engineers take pride in elegant and robust solutions that bring peace of mind to those who rely on them.

Do you bring experience and passion to your work and team? Does seeing a software product take shape and come to life make you happy? If yes, you’d fit right in at Spark Digital and we’d love to talk about the Senior Data Engineer role we’re looking to fill.",4.5,"Spark Digital
4.5",United States,-1,201 to 500 ,2011,Company - Private,IT Services,Information Technology,na,-1,0,119,147,133.0,Spark Digital,United States,9,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,data engineer,senior,201,500,350.5,0,0
Data Scientist,$119K-$147K (Glassdoor est.),"Job Title

Data Scientist

Agency

Texas A&M University

Department

Academic Affairs Recruiting Office

Proposed Minimum Salary

Commensurate

Job Location

College Station, Texas

Job Type

Staff

Job Description

Our Commitment

Texas A&M University is committed to enriching the learning and working environment for all visitors, students, faculty, and staff by promoting a culture that embraces inclusion, diversity, equity, and accountability. Diverse perspectives, talents and identities are vital to accomplishing our mission and living our core values.

Who we are

The Office of Data and Research Services provides various reports and data for faculty and students. DARS is responsible for state and national reporting, maintains the Texas A&M Accountability website, and is developing an academic services data warehouse for student data from the Registrar, Admissions and Financial Aid.

The Academic Affairs Recruiting Office assisted with the creation and posting of this job requisition for the Office of Data and Research Services.

What we want

Our office is seeking a Data Scientist who has a passion for statistics and data analysis, is deeply interested in solving complex problems using multiple data sets and pays great attention to detail. The successful candidate embraces a team approach to problem solving and enjoys collaborating with others across the university. The Data Scientist is responsible developing a set of statistical models or algorithms based on a continuously identify, assess, measure, and monitor university faculty recruitment, retention and success, as well as diversity across faculty, staff and students. If this interests you, we encourage you to apply to be considered. Our selected candidate will subscribe to and support our commitment to Inclusion, Diversity, Equity and Accountability (IDEA) as stated above. If this sounds like you, we invite your application to be considered.

What you need to know

COVID-19 information:Texas A&M University monitors and updates our recruiting, hiring and onboarding processes to align with local, state and federally mandated health guidelines to keep employees, prospective employees, and visitors as safe as possible. Each department has established both remote and in-person procedures for conducting these processes, which include sanitizing common spaces, a mask policy, and maintaining safe physical distancing to the extent possible. Departments will provide the procedures to be followed at each step of the recruiting process.

Required Education and Experience:
Bachelor’s degree or equivalent combination of education and experience
Eight years of practical experience with ETL, data processing, database programming, and data analytics
Required Knowledge, Skills and Abilities:
Knowledge of Advanced Statistical Analysis, Tableau, R, Python, SPSS, Stata software applications
Knowledge of use of data mining
Ability to research and develop statistical learning models for data analysis
Ability to multitask and work cooperatively with others
Excellent written communication, analytical, interpersonal, and organizational skills
Preferred Education and Experience:
Master’s Degree in Data Science, Statistics, Computer informatics or related field
More than eight years of practical experience with ETL, data processing, database programming and data analytics
Preferred Knowledge, Skills, and Abilities:
Knowledgeable in various Machine Learning-based tools and software
Responsibilities:
Development of Statistical Models - Develops a set of statistical models or algorithms based on a continuously identify, assess, measure, and monitor university faculty recruitment, retention and success, as well as diversity across faculty, staff and students. Provides guidance in use of appropriate methods and techniques in the development of data dictionary, to be used by other offices across campus for appropriate assessments of success factors for colleges and divisions of Texas A&M University. Identifies and communicates recommended data deficiencies within units. Maintains assessment criteria for continual development of data analytics models. Stays in compliance with appropriate storage of PI data in regards to Federal, State, Texas A&M System and Texas A&M University policies, procedures. Maintains a set of standards, technical infrastructure, data management and data algorithm development efforts for future uses, as well as compliance review.
Documentation and Reporting of Findings - Documents entire process of statistical approaches and techniques used in preparation and statistical analysis algorithms. Provides clear and concise set of findings for Administration and management to review and perform actions. When necessary, makes recommendations to base on statistical assessment of subjects. Develops final reports that will be provided to the Provost, Vice Provosts, Associate Provost, Vice Presidents, Deans and Department Heads as necessary.
Training of Data Science Techniques - Develops training of used statistical methods and techniques to ensure junior data analyst understand methods and approaches used, and so that other areas within University may be able to recreate approaches and methods to similar data analysis projects.
Data Cleansing and Security - Periodically reviews data and data collection policies and procedure within Texas A&M University to ensure that data is maintained in a manner that is applicable with all current Federal, State, System, and University rules.
Other - Performs other duties as assigned.
Instructions to Applicants: Applications received by Texas A&M University and TAMHSC, must either have all job application data entered or a resume attached. Failure to provide all job application data or a complete resume could result in an invalid submission and a rejected application. We encourage all applicants to upload a resume or use a LinkedIn profile to pre-populate the online application.

All positions are security-sensitive. Applicants are subject to a criminal history investigation, and employment is contingent upon the institution’s verification of credentials and/or other information required by the institution’s procedures, including the completion of the criminal history check.

Equal Opportunity/Affirmative Action/Veterans/Disability Employer committed to diversity.

Apply now",4.4,"Texas A&M University
4.4","College Station, TX",-1,10000 to 20000 ,1871,College / University,Colleges & Universities,Education,na,-1,0,119,147,133.0,Texas A&M University, TX,149,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,data scientist,na,10000,20000,15000.0,0,0
Data Engineer,$119K-$147K (Glassdoor est.),"Kingfisher Systems, Inc. specializes in providing a full range of Information Technology, Cybersecurity, Intelligence, and support services to the U.S. Government. Kingfisher Systems core competency is technology-enabled services, with a specific focus on national security. Since 2005, Kingfisher has established itself as a recognized and trusted mission partner whose mission is safeguarding sensitive information, operations, and programs for our Federal customers and warfighters.

Responsibilities:

Kingfisher Systems, Inc. is seeking a Data Engineer to provide data flows and transformations to automate, script, visualize, and modeling subnational wealth. Day to day technical tasks include meeting with the customer to understand and refine the requirements. The candidate will use Nifi and Python to create data flows and transformations and understand the workflow of the project. They will work with the customer to implement any requested updates, move data storage to RDS, and work with security to ensure the entire system is compliant. They will compile security controls and artifacts and contribute to the Standard Operating Procedures and other related documents.

Skills Requirements:
The successful candidate should have experience with scripting in Python and using Nifi. Some knowledge of geospatial software such as ArcGIS, QGIS is preferred or willingness to learn.
Knowledge of best practices for data standards, data management, data quality.
Experience with SQL, PostGreSQL/PostGIS. Ability to communicate analysis to experts and lay persons alike.
Years of Experience: Minimum of 3 years experience.

Degree Requirement: Bachelor's degree in computer science, geography, or related field.

Minimum Clearance Requirement: Minimum Top Secret clearance with SCI Eligibility. Applicants selected will be subject to an additional security investigation and thus may have additional eligibility requirements to meet.

Kingfisher Systems, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, among other things, or status as a qualified individual with a disability.",4.5,"Kingfisher Systems
4.5","Falls Church, VA",-1,51 to 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million,-1,0,119,147,133.0,Kingfisher Systems, VA,15,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,data engineer,na,51,200,125.5,1,0
Senior Business Intelligence Analyst,$119K-$147K (Glassdoor est.),"Position Overview:

The Senior Business Intelligence Analyst is responsible for turning data into knowledge, enabling business decisions.

Specific Duties Include:
Partnering with the user community to create new business intelligence, reporting and data analysis solutions.
Maintaining existing software systems related to business intelligence, reporting and data analysis.
Identify improvements to existing business intelligence, reporting and data analysis.
Capture, develop, and document data definitions, business rules, and data quality requirements.
Build and maintain ETL (Extract, Transform, Load) and integration processes.
Validate data delivered to user community.
Ensure compliance with Protolabs data and software policies and procedures.
Monitor software systems to ensure reliability and accuracy of information loaded into the databases.
Maintain all documentation related to database objects, source systems, and operations.
Conduct complex, important work under minimal supervision and with wide latitude for independent judgment.
Minimum Qualifications:
6+ years of experience working in software engineering
Experience with Microsoft SQL Server
Experience with Domo
Experience with PowerBI
Experience with Microsoft SQL Server Reporting Service (SSRS)
Ability to work on multiple project concurrently
Ability to manage time effectively
Strong written and verbal communication skills
Ability to work effectively in a fast paced, collaborative environment
Education Requirements:
Bachelor’s Degree in Computer Science, Software Engineering, or related field
Preferred Qualifications:
Previous leadership experience preferred
Knowledge of document databases including Raven
Previous experience with Microsoft Dynamics AX
Previous experience with Salesforce
Software development in a continuous integration and continuous deployment environment
Proto Labs maintains ITAR-compliant operations in all of our United States based facilities. Due to ITAR regulations, this role is only open to U.S. Citizens, lawful permanent residents (green card holders) or foreign nationals granted refugee or asylee status. Individuals with temporary visas (e.g. E, F-1, H-1, H-2, L, B, J, TN or OPT) are not eligible for hire in this role.

Proto Labs, Inc. is an Affirmative Action / Equal Opportunity Employer",2.1,"Rapid Manufacturing
2.1","Nashua, NH",-1,201 to 500 ,-1,Company - Private,-1,-1,$25 to $50 million,-1,0,119,147,133.0,Rapid Manufacturing, NH,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,na,senior,201,500,350.5,1,0
Data Analyst,$119K-$147K (Glassdoor est.),"Data Analyst
10744
Menlo Park, CA
6/2/2020 2:54:00 PM

Learning
Contractor - W2

Job Description
Responsibilities

Primary
Query data and provide reports/query results to stakeholders
Manage requests and priorities independently
Provide documentation of queries/inbound requests for future use in improving GBM’s data infrastructure
Create new or improve existing dashboards by adding new metrics to support Business Education and other teams within the company

Secondary
Communicate with internal stakeholders about dashboards, and provide support about which metrics are available and from where
Understand existing data policy restrictions and determine if queries are possible to run/share
Skills

Minimum Qualifications

· 4+ years of experience in analytics or similar field

· Advanced proficiency in SQL

· Experience problem solving and providing business insights and recommendations from data

· Ability to manage multiple concurrent projects and drive initiatives in a cross-functional environment

· Ability to communicate complex data issues to audiences of different levels of technical expertise

Preferred Qualifications

· Experience building out large data sets and pipelines

· Python or similar scripting experience

Education

Minimum Qualifications

· Bachelor’s degree in a technical focus area

Preferred Qualifications

· MBA or graduate degree in a quantitative field

Job Requirements",3.8,"IntraEdge
3.8","Menlo Park, CA",-1,501 to 1000 ,2002,Company - Private,IT Services,Information Technology,$50 to $100 million,-1,0,119,147,133.0,IntraEdge, CA,18,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,data analyst,na,501,1000,750.5,1,0
Machine Learning Engineer,$119K-$147K (Glassdoor est.),"Hiretual is an AI-powered talent data system for enterprises. It has been recognized as one of the best data management SaaS for talent acquisition in the market and trusted by 100+ Fortune 500 customers(Amazon, Nike, Paypal, Intel, etc.)
As a machine learning engineer, you will join the core engineering team to develop the algorithm, framework, and product intelligence towards an AI and data-driven SaaS. You will be working with top AI researchers and infrastructure gurus to explore unlimited career space.
You must have:
A Ph.D. degree in computer science, math, physics, or related majors.
Developed and launched AI product

It would be best if you were an expert at one of the following:
Knowledge discovery and information retrieval: entity recognition, relation extraction, and knowledge learning from unstructured data
Machine learning-powered recommendation systems and ranking algorithms: content-based recommendation, collaborative filtering, etc.
Natural Language Processing (NLP): deep learning and statistical learning
Deep Graph Learning
Benefits:
Unlimited growth/promotion space
Competitive salary and options
401k plan with a 3% contribution
Free daily lunch & dinner
Comprehensive medical, dental, and life insurance with 100% coverage
Generous PTO policy
Commuter benefits
Fun, collaborative, and energetic team environment with a nice office environment
Fun events for the family!",2.9,"Hiretual
2.9","Mountain View, CA",-1,1 to 50 ,2014,Company - Private,Internet,Information Technology,na,-1,0,119,147,133.0,Hiretual, CA,6,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,machine learning engineer,na,1,50,25.5,0,0
Data Analyst - Online Education,$119K-$147K (Glassdoor est.),"THIS IS NOT A REMOTE POSITION


THIS POSITION WILL BE BASED OUT OF THE

TUCSON CORPORATE OFFICE

ESSENTIAL FUNCTIONS
Utilize advanced statistical abilities and tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive efforts.
Prepare reports and visualizations that effectively communicate trends, patterns, and predictions.
Assist with preparing, collecting, and analyzing quantitative (surveys, etc.) and qualitative (focus groups, etc.) data from students, faculty and staff.
Partner with stakeholders to gain a thorough understanding of needs.
Mine data from primary and secondary sources and reorganizes into a format that can be easily read by human or machine.
Work closely with IT in establishing data systems protocols for data needs.
Coach team members on how to use tools to their greatest benefit.
The list of essential functions is not exhaustive and may be supplemented.

MINIMUM QUALIFICATIONS
Bachelor’s Degree or higher, preferably in a computational field such as computer Science, Mathematics, Statistics, Physics, Engineering.
Three (3) years of experience working with large data sets or relational databases.
Three (3) years of experience with forecasting, trend analysis, and predictive modeling.
Demonstrated experience using SQL, Excel, R or Python, and visualization platforms such as Tableau or Power BI.
Experience working in higher education preferred.
Take initiative and ownership of projects.
Problem solving and analytical skills.
Business acumen.
Time management skills and able to prioritize and deliver projects and deliverables on time.
Comfortable working in a fast-paced, entrepreneurial environment.
Collaborative and team focused.",4.5,"Pima Medical Institute
4.5","Tucson, AZ",-1,1001 to 5000 ,1972,College / University,Colleges & Universities,Education,na,-1,0,119,147,133.0,Pima Medical Institute, AZ,48,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,data analyst,na,1001,5000,3000.5,0,0
